Character,Decimal,Character,Hex,Name
ሀ,4608,ሀ,1200,ETHIOPIC SYLLABLE HA
ሁ,4609,ሁ,1201,ETHIOPIC SYLLABLE HU
ሂ,4610,ሂ,1202,ETHIOPIC SYLLABLE HI
ሃ,4611,ሃ,1203,ETHIOPIC SYLLABLE HAA
ሄ,4612,ሄ,1204,ETHIOPIC SYLLABLE HEE
ህ,4613,ህ,1205,ETHIOPIC SYLLABLE HE
ሆ,4614,ሆ,1206,ETHIOPIC SYLLABLE HO
ለ,4616,ለ,1208,ETHIOPIC SYLLABLE LA
ሉ,4617,ሉ,1209,ETHIOPIC SYLLABLE LU
ሊ,4618,ሊ,120A,ETHIOPIC SYLLABLE LI
ላ,4619,ላ,120B,ETHIOPIC SYLLABLE LAA
ሌ,4620,ሌ,120C,ETHIOPIC SYLLABLE LEE
ል,4621,ል,120D,ETHIOPIC SYLLABLE LE
ሎ,4622,ሎ,120E,ETHIOPIC SYLLABLE LO
ሐ,4624,ሐ,1210,ETHIOPIC SYLLABLE HHA
ሑ,4625,ሑ,1211,ETHIOPIC SYLLABLE HHU
ሒ,4626,ሒ,1212,ETHIOPIC SYLLABLE HHI
ሓ,4627,ሓ,1213,ETHIOPIC SYLLABLE HHAA
ሔ,4628,ሔ,1214,ETHIOPIC SYLLABLE HHEE
ሕ,4629,ሕ,1215,ETHIOPIC SYLLABLE HHE
ሖ,4630,ሖ,1216,ETHIOPIC SYLLABLE HHO
መ,4632,መ,1218,ETHIOPIC SYLLABLE MA
ሙ,4633,ሙ,1219,ETHIOPIC SYLLABLE MU
ሚ,4634,ሚ,121A,ETHIOPIC SYLLABLE MI
ማ,4635,ማ,121B,ETHIOPIC SYLLABLE MAA
ሜ,4636,ሜ,121C,ETHIOPIC SYLLABLE MEE
ም,4637,ም,121D,ETHIOPIC SYLLABLE ME
ሞ,4638,ሞ,121E,ETHIOPIC SYLLABLE MO
ሠ,4640,ሠ,1220,ETHIOPIC SYLLABLE SZA
ሡ,4641,ሡ,1221,ETHIOPIC SYLLABLE SZU
ሢ,4642,ሢ,1222,ETHIOPIC SYLLABLE SZI
ሣ,4643,ሣ,1223,ETHIOPIC SYLLABLE SZAA
ሤ,4644,ሤ,1224,ETHIOPIC SYLLABLE SZEE
ሥ,4645,ሥ,1225,ETHIOPIC SYLLABLE SZE
ሦ,4646,ሦ,1226,ETHIOPIC SYLLABLE SZO
ረ,4648,ረ,1228,ETHIOPIC SYLLABLE RA
ሩ,4649,ሩ,1229,ETHIOPIC SYLLABLE RU
ሪ,4650,ሪ,122A,ETHIOPIC SYLLABLE RI
ራ,4651,ራ,122B,ETHIOPIC SYLLABLE RAA
ሬ,4652,ሬ,122C,ETHIOPIC SYLLABLE REE
ር,4653,ር,122D,ETHIOPIC SYLLABLE RE
ሮ,4654,ሮ,122E,ETHIOPIC SYLLABLE RO
ሰ,4656,ሰ,1230,ETHIOPIC SYLLABLE SA
ሱ,4657,ሱ,1231,ETHIOPIC SYLLABLE SU
ሲ,4658,ሲ,1232,ETHIOPIC SYLLABLE SI
ሳ,4659,ሳ,1233,ETHIOPIC SYLLABLE SAA
ሴ,4660,ሴ,1234,ETHIOPIC SYLLABLE SEE
ስ,4661,ስ,1235,ETHIOPIC SYLLABLE SE
ሶ,4662,ሶ,1236,ETHIOPIC SYLLABLE SO
ሸ,4664,ሸ,1238,ETHIOPIC SYLLABLE SHA
ሹ,4665,ሹ,1239,ETHIOPIC SYLLABLE SHU
ሺ,4666,ሺ,123A,ETHIOPIC SYLLABLE SHI
ሻ,4667,ሻ,123B,ETHIOPIC SYLLABLE SHAA
ሼ,4668,ሼ,123C,ETHIOPIC SYLLABLE SHEE
ሽ,4669,ሽ,123D,ETHIOPIC SYLLABLE SHE
ሾ,4670,ሾ,123E,ETHIOPIC SYLLABLE SHO
ቀ,4672,ቀ,1240,ETHIOPIC SYLLABLE QA
ቁ,4673,ቁ,1241,ETHIOPIC SYLLABLE QU
ቂ,4674,ቂ,1242,ETHIOPIC SYLLABLE QI
ቃ,4675,ቃ,1243,ETHIOPIC SYLLABLE QAA
ቄ,4676,ቄ,1244,ETHIOPIC SYLLABLE QEE
ቅ,4677,ቅ,1245,ETHIOPIC SYLLABLE QE
ቆ,4678,ቆ,1246,ETHIOPIC SYLLABLE QO
በ,4704,በ,1260,ETHIOPIC SYLLABLE BA
ቡ,4705,ቡ,1261,ETHIOPIC SYLLABLE BU
ቢ,4706,ቢ,1262,ETHIOPIC SYLLABLE BI
ባ,4707,ባ,1263,ETHIOPIC SYLLABLE BAA
ቤ,4708,ቤ,1264,ETHIOPIC SYLLABLE BEE
ብ,4709,ብ,1265,ETHIOPIC SYLLABLE BE
ቦ,4710,ቦ,1266,ETHIOPIC SYLLABLE BO
ቨ,4712,ቨ,1268,ETHIOPIC SYLLABLE VA
ቩ,4713,ቩ,1269,ETHIOPIC SYLLABLE VU
ቪ,4714,ቪ,126A,ETHIOPIC SYLLABLE VI
ቫ,4715,ቫ,126B,ETHIOPIC SYLLABLE VAA
ቬ,4716,ቬ,126C,ETHIOPIC SYLLABLE VEE
ቭ,4717,ቭ,126D,ETHIOPIC SYLLABLE VE
ቮ,4718,ቮ,126E,ETHIOPIC SYLLABLE VO
ተ,4720,ተ,1270,ETHIOPIC SYLLABLE TA
ቱ,4721,ቱ,1271,ETHIOPIC SYLLABLE TU
ቲ,4722,ቲ,1272,ETHIOPIC SYLLABLE TI
ታ,4723,ታ,1273,ETHIOPIC SYLLABLE TAA
ቴ,4724,ቴ,1274,ETHIOPIC SYLLABLE TEE
ት,4725,ት,1275,ETHIOPIC SYLLABLE TE
ቶ,4726,ቶ,1276,ETHIOPIC SYLLABLE TO
ቸ,4728,ቸ,1278,ETHIOPIC SYLLABLE CA
ቹ,4729,ቹ,1279,ETHIOPIC SYLLABLE CU
ቺ,4730,ቺ,127A,ETHIOPIC SYLLABLE CI
ቻ,4731,ቻ,127B,ETHIOPIC SYLLABLE CAA
ቼ,4732,ቼ,127C,ETHIOPIC SYLLABLE CEE
ች,4733,ች,127D,ETHIOPIC SYLLABLE CE
ቾ,4734,ቾ,127E,ETHIOPIC SYLLABLE CO
ኀ,4736,ኀ,1280,ETHIOPIC SYLLABLE XA
ኁ,4737,ኁ,1281,ETHIOPIC SYLLABLE XU
ኂ,4738,ኂ,1282,ETHIOPIC SYLLABLE XI
ኃ,4739,ኃ,1283,ETHIOPIC SYLLABLE XAA
ኄ,4740,ኄ,1284,ETHIOPIC SYLLABLE XEE
ኅ,4741,ኅ,1285,ETHIOPIC SYLLABLE XE
ኆ,4742,ኆ,1286,ETHIOPIC SYLLABLE XO
ነ,4752,ነ,1290,ETHIOPIC SYLLABLE NA
ኑ,4753,ኑ,1291,ETHIOPIC SYLLABLE NU
ኒ,4754,ኒ,1292,ETHIOPIC SYLLABLE NI
ና,4755,ና,1293,ETHIOPIC SYLLABLE NAA
ኔ,4756,ኔ,1294,ETHIOPIC SYLLABLE NEE
ን,4757,ን,1295,ETHIOPIC SYLLABLE NE
ኖ,4758,ኖ,1296,ETHIOPIC SYLLABLE NO
ኘ,4760,ኘ,1298,ETHIOPIC SYLLABLE NYA
ኙ,4761,ኙ,1299,ETHIOPIC SYLLABLE NYU
ኚ,4762,ኚ,129A,ETHIOPIC SYLLABLE NYI
ኛ,4763,ኛ,129B,ETHIOPIC SYLLABLE NYAA
ኜ,4764,ኜ,129C,ETHIOPIC SYLLABLE NYEE
ኝ,4765,ኝ,129D,ETHIOPIC SYLLABLE NYE
ኞ,4766,ኞ,129E,ETHIOPIC SYLLABLE NYO
አ,4768,አ,12A0,ETHIOPIC SYLLABLE GLOTTAL A
ኡ,4769,ኡ,12A1,ETHIOPIC SYLLABLE GLOTTAL U
ኢ,4770,ኢ,12A2,ETHIOPIC SYLLABLE GLOTTAL I
ኣ,4771,ኣ,12A3,ETHIOPIC SYLLABLE GLOTTAL AA
ኤ,4772,ኤ,12A4,ETHIOPIC SYLLABLE GLOTTAL EE
እ,4773,እ,12A5,ETHIOPIC SYLLABLE GLOTTAL E
ኦ,4774,ኦ,12A6,ETHIOPIC SYLLABLE GLOTTAL O
ከ,4776,ከ,12A8,ETHIOPIC SYLLABLE KA
ኩ,4777,ኩ,12A9,ETHIOPIC SYLLABLE KU
ኪ,4778,ኪ,12AA,ETHIOPIC SYLLABLE KI
ካ,4779,ካ,12AB,ETHIOPIC SYLLABLE KAA
ኬ,4780,ኬ,12AC,ETHIOPIC SYLLABLE KEE
ክ,4781,ክ,12AD,ETHIOPIC SYLLABLE KE
ኮ,4782,ኮ,12AE,ETHIOPIC SYLLABLE KO
ኸ,4792,ኸ,12B8,ETHIOPIC SYLLABLE KXA
