Ids,Character,Decimal,Character,Hex
0,ሀ,4608,ሀ,1200
=A2+1,ሁ,4609,ሁ,1201
=A3+1,ሂ,4610,ሂ,1202
=A4+1,ሃ,4611,ሃ,1203
=A5+1,ሄ,4612,ሄ,1204
=A6+1,ህ,4613,ህ,1205
=A7+1,ሆ,4614,ሆ,1206
=A8+1,ለ,4616,ለ,1208
=A9+1,ሉ,4617,ሉ,1209
=A10+1,ሊ,4618,ሊ,120A
=A11+1,ላ,4619,ላ,120B
=A12+1,ሌ,4620,ሌ,120C
=A13+1,ል,4621,ል,120D
=A14+1,ሎ,4622,ሎ,120E
=A15+1,ሐ,4624,ሐ,1210
=A16+1,ሑ,4625,ሑ,1211
=A17+1,ሒ,4626,ሒ,1212
=A18+1,ሓ,4627,ሓ,1213
=A19+1,ሔ,4628,ሔ,1214
=A20+1,ሕ,4629,ሕ,1215
=A21+1,ሖ,4630,ሖ,1216
=A22+1,መ,4632,መ,1218
=A23+1,ሙ,4633,ሙ,1219
=A24+1,ሚ,4634,ሚ,121A
=A25+1,ማ,4635,ማ,121B
=A26+1,ሜ,4636,ሜ,121C
=A27+1,ም,4637,ም,121D
=A28+1,ሞ,4638,ሞ,121E
=A29+1,ሠ,4640,ሠ,1220
=A30+1,ሡ,4641,ሡ,1221
=A31+1,ሢ,4642,ሢ,1222
=A32+1,ሣ,4643,ሣ,1223
=A33+1,ሤ,4644,ሤ,1224
=A34+1,ሥ,4645,ሥ,1225
=A35+1,ሦ,4646,ሦ,1226
=A36+1,ረ,4648,ረ,1228
=A37+1,ሩ,4649,ሩ,1229
=A38+1,ሪ,4650,ሪ,122A
=A39+1,ራ,4651,ራ,122B
=A40+1,ሬ,4652,ሬ,122C
=A41+1,ር,4653,ር,122D
=A42+1,ሮ,4654,ሮ,122E
=A43+1,ሰ,4656,ሰ,1230
=A44+1,ሱ,4657,ሱ,1231
=A45+1,ሲ,4658,ሲ,1232
=A46+1,ሳ,4659,ሳ,1233
=A47+1,ሴ,4660,ሴ,1234
=A48+1,ስ,4661,ስ,1235
=A49+1,ሶ,4662,ሶ,1236
=A50+1,ሸ,4664,ሸ,1238
=A51+1,ሹ,4665,ሹ,1239
=A52+1,ሺ,4666,ሺ,123A
=A53+1,ሻ,4667,ሻ,123B
=A54+1,ሼ,4668,ሼ,123C
=A55+1,ሽ,4669,ሽ,123D
=A56+1,ሾ,4670,ሾ,123E
=A57+1,ቀ,4672,ቀ,1240
=A58+1,ቁ,4673,ቁ,1241
=A59+1,ቂ,4674,ቂ,1242
=A60+1,ቃ,4675,ቃ,1243
=A61+1,ቄ,4676,ቄ,1244
=A62+1,ቅ,4677,ቅ,1245
=A63+1,ቆ,4678,ቆ,1246
=A64+1,በ,4704,በ,1260
=A65+1,ቡ,4705,ቡ,1261
=A66+1,ቢ,4706,ቢ,1262
=A67+1,ባ,4707,ባ,1263
=A68+1,ቤ,4708,ቤ,1264
=A69+1,ብ,4709,ብ,1265
=A70+1,ቦ,4710,ቦ,1266
=A71+1,ቨ,4712,ቨ,1268
=A72+1,ቩ,4713,ቩ,1269
=A73+1,ቪ,4714,ቪ,126A
=A74+1,ቫ,4715,ቫ,126B
=A75+1,ቬ,4716,ቬ,126C
=A76+1,ቭ,4717,ቭ,126D
=A77+1,ቮ,4718,ቮ,126E
=A78+1,ተ,4720,ተ,1270
=A79+1,ቱ,4721,ቱ,1271
=A80+1,ቲ,4722,ቲ,1272
=A81+1,ታ,4723,ታ,1273
=A82+1,ቴ,4724,ቴ,1274
=A83+1,ት,4725,ት,1275
=A84+1,ቶ,4726,ቶ,1276
=A85+1,ቸ,4728,ቸ,1278
=A86+1,ቹ,4729,ቹ,1279
=A87+1,ቺ,4730,ቺ,127A
=A88+1,ቻ,4731,ቻ,127B
=A89+1,ቼ,4732,ቼ,127C
=A90+1,ች,4733,ች,127D
=A91+1,ቾ,4734,ቾ,127E
=A92+1,ኀ,4736,ኀ,1280
=A93+1,ኁ,4737,ኁ,1281
=A94+1,ኂ,4738,ኂ,1282
=A95+1,ኃ,4739,ኃ,1283
=A96+1,ኄ,4740,ኄ,1284
=A97+1,ኅ,4741,ኅ,1285
=A98+1,ኆ,4742,ኆ,1286
=A99+1,ነ,4752,ነ,1290
=A100+1,ኑ,4753,ኑ,1291
=A101+1,ኒ,4754,ኒ,1292
=A102+1,ና,4755,ና,1293
=A103+1,ኔ,4756,ኔ,1294
=A104+1,ን,4757,ን,1295
=A105+1,ኖ,4758,ኖ,1296
=A106+1,ኘ,4760,ኘ,1298
=A107+1,ኙ,4761,ኙ,1299
=A108+1,ኚ,4762,ኚ,129A
=A109+1,ኛ,4763,ኛ,129B
=A110+1,ኜ,4764,ኜ,129C
=A111+1,ኝ,4765,ኝ,129D
=A112+1,ኞ,4766,ኞ,129E
=A113+1,አ,4768,አ,12A0
=A114+1,ኡ,4769,ኡ,12A1
=A115+1,ኢ,4770,ኢ,12A2
=A116+1,ኣ,4771,ኣ,12A3
=A117+1,ኤ,4772,ኤ,12A4
=A118+1,እ,4773,እ,12A5
=A119+1,ኦ,4774,ኦ,12A6
=A120+1,ከ,4776,ከ,12A8
=A121+1,ኩ,4777,ኩ,12A9
=A122+1,ኪ,4778,ኪ,12AA
=A123+1,ካ,4779,ካ,12AB
=A124+1,ኬ,4780,ኬ,12AC
=A125+1,ክ,4781,ክ,12AD
=A126+1,ኮ,4782,ኮ,12AE
=A127+1,ኸ,4792,ኸ,12B8
=A128+1,ኹ,4793,ኹ,12B9
=A129+1,ኺ,4794,ኺ,12BA
=A130+1,ኻ,4795,ኻ,12BB
=A131+1,ኼ,4796,ኼ,12BC
=A132+1,ኽ,4797,ኽ,12BD
=A133+1,ኾ,4798,ኾ,12BE
=A134+1,ወ,4808,ወ,12C8
=A135+1,ዉ,4809,ዉ,12C9
=A136+1,ዊ,4810,ዊ,12CA
=A137+1,ዋ,4811,ዋ,12CB
